index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  248   4733.591    26.0 1.484  -2.99  6.499  0.053    90.754     2.191 0.173  0.143 -0.001 -0.096 -0.010 0.173 0.100 0.206 23.487
  249   4736.773    26.0 3.209  -0.67  6.269  0.044   101.196     2.198 0.174  0.103 -0.086 -0.083  0.012 0.158 0.100 0.192 27.045
  250   4756.515    28.0 3.477  -0.27  4.803  0.036    48.413     1.889 0.157  0.073  0.026 -0.027  0.011 0.083 0.100 0.135 55.090
  252   4763.883    22.1 1.220   -2.4  4.438  0.035    82.962     1.573 0.176  0.003  0.215 -0.073  0.056 0.234 0.100 0.257 15.169
  253   4764.525    22.1 1.236  -2.69  4.233  0.037    58.408     1.959 0.188  0.003  0.222 -0.033  0.056 0.231 0.100 0.255 15.411
  254   4772.804    26.0 1.556   -2.9  6.331  0.047    84.418     2.018 0.157  0.139  0.003 -0.089 -0.013 0.166 0.100 0.199 25.233
  259    4810.53    30.0 4.078  -0.15  3.179  0.033    49.506     1.578 0.139  0.003  0.145 -0.032  0.039 0.154 0.100 0.186 28.844
  262   4831.176    28.0 3.603  -0.32  4.859  0.045    41.802     2.308 0.168  0.070  0.029 -0.019  0.013 0.079 0.100 0.135 54.654
  263   4840.874    22.0 0.899  -0.43  3.873  0.038    61.858     2.004 0.158  0.130 -0.005 -0.037 -0.001 0.135 0.100 0.172 33.625
  268    4865.61    22.1 1.115   -2.7  4.052  0.035    55.874     1.915 0.144  0.005  0.222 -0.029  0.057 0.231 0.100 0.254 15.474
  269   4866.271    28.0 3.536  -0.22  4.695  0.042    42.157     2.096 0.152  0.071  0.033 -0.020  0.012 0.082 0.100 0.136 54.233
  270   4870.125    22.0 2.248   0.44  3.763  0.043    23.611     1.860 0.170  0.093  0.000 -0.008  0.005 0.093 0.100 0.143 48.572
  271   4871.318    26.0 2.865  -0.34  6.055  0.038   131.977     2.701 0.190  0.116 -0.140 -0.070  0.022 0.196 0.100 0.223 20.046
  273   4874.009    22.1 3.092  -0.86  3.853  0.043    29.069     1.931 0.154 -0.024  0.213 -0.011  0.037 0.218 0.100 0.243 16.868
  274   4885.079    22.0 1.886   0.41  3.783  0.036    42.687     1.991 0.156  0.104 -0.002 -0.018  0.003 0.106 0.100 0.150 44.543
  276   4890.755    26.0 2.876  -0.38  6.199  0.031   139.121     2.427 0.190  0.116 -0.151 -0.064  0.026 0.203 0.100 0.228 19.234
  277    4903.31    26.0 2.882  -0.89  6.306  0.045   112.536     2.547 0.183  0.114 -0.099 -0.081  0.012 0.172 0.100 0.204 24.080
  278   4910.017    26.0 3.394  -1.28  6.181  0.039    57.760     2.030 0.160  0.088  0.010 -0.037  0.006 0.096 0.100 0.144 48.144
  280   4913.613    22.0 1.872   0.22  3.823  0.042    35.733     2.178 0.172  0.103  0.002 -0.014  0.004 0.104 0.100 0.150 44.267
  283   4923.922    26.1 2.891  -1.26  6.082  0.049   133.912     3.325 0.217 -0.020  0.146 -0.078  0.051 0.174 0.100 0.207 23.363
  285   4946.388    26.0 3.368  -1.11  6.350  0.040    77.083     1.933 0.170  0.094 -0.028 -0.060  0.007 0.115 0.100 0.158 40.209
