index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  199   4555.483    22.0 0.848   -0.4  3.334  0.050    76.370     3.016  0.174  0.168 -0.048 -0.033 -0.034 0.181 0.100 0.213 22.088
  200   4555.888    26.1 2.828   -2.4  5.709  0.086    95.398     4.417  0.197 -0.033  0.191 -0.061  0.060 0.212 0.100 0.250 16.054
  201   4558.644    24.1 4.070  -0.43  3.797  0.058    62.865     3.322  0.192 -0.046  0.188 -0.028  0.051 0.202 0.100 0.233 18.447
  202   4571.096    12.0 0.000 -5.623  6.263  0.074   151.162     3.940  0.195  0.237 -0.033 -0.096 -0.073 0.268 0.100 0.295 11.457
  203   4571.971    22.1 1.571  -0.31  3.988  0.065   183.978     4.044  0.257  0.032  0.044 -0.110  0.083 0.148 0.100 0.190 27.643
  204   4576.328    26.1 2.844  -2.95  5.595  0.052    58.154     3.154  0.174 -0.027  0.203 -0.023  0.065 0.216 0.100 0.244 16.836
  205   4580.048    24.0 0.941  -1.66  3.953  0.052    78.919     2.997  0.179  0.162 -0.048 -0.038 -0.036 0.177 0.100 0.210 22.731
  206   4582.835    26.1 2.844  -3.18  5.699  0.061    50.274     3.422  0.187 -0.023  0.207 -0.017  0.064 0.219 0.100 0.248 16.264
  207   4583.409    22.1 1.164  -2.84  3.701  0.060    69.104     3.402  0.212  0.015  0.194 -0.027  0.069 0.208 0.100 0.239 17.559
  208   4583.829    26.1 2.807  -1.94  5.971  0.073   134.879     4.152  0.242 -0.027  0.165 -0.080  0.057 0.194 0.100 0.230 18.892
  209   4588.198    24.1 4.068  -0.65  3.540  0.049    36.571     2.575  0.153 -0.036  0.190 -0.011  0.047 0.199 0.100 0.228 19.184
  210   4591.391    24.0 0.968  -1.74  3.788  0.044    61.989     2.865  0.161  0.159 -0.041 -0.021 -0.027 0.168 0.100 0.200 24.957
  212   4592.651    26.0 1.556  -2.46  6.024  0.092   135.811     4.797  0.198  0.185 -0.053 -0.094 -0.038 0.218 0.100 0.256 15.202
  213   4600.749    24.0 1.003  -1.25  3.687  0.062    82.915     3.427  0.174  0.162 -0.048 -0.049 -0.036 0.180 0.100 0.215 21.697
  214     4602.0    26.0 1.607  -3.13  5.653  0.052    79.303     2.924  0.163  0.171 -0.028 -0.037 -0.027 0.179 0.100 0.212 22.307
  215   4602.941    26.0 1.484  -2.21  5.906  0.082   143.727     3.915  0.205  0.195 -0.058 -0.115 -0.049 0.239 0.100 0.272 13.561
  216   4604.988    28.0 3.477  -0.24  4.170  0.048    40.394     2.898  0.175  0.093  0.001 -0.011 -0.006 0.094 0.100 0.145 47.366
  217   4607.331    38.0 0.000  0.283  0.817  0.051    26.272     2.466  0.130  0.151 -0.038 -0.006 -0.021 0.157 0.100 0.193 26.792
  218   4607.647    26.0 3.263  -1.33  5.610  0.053    61.448     2.990  0.144  0.116 -0.018 -0.021 -0.017 0.120 0.100 0.165 36.603
  219   4609.265    22.1 1.179  -3.32  3.609  0.053    32.529     2.941  0.178  0.018  0.192 -0.007  0.071 0.206 0.100 0.235 18.153
  220   4616.124    24.0 0.982  -1.19  3.660  0.059    86.330     3.272  0.175  0.163 -0.050 -0.047 -0.038 0.181 0.100 0.215 21.643
  221   4617.269    22.0 1.748   0.44  3.241  0.039    53.572     2.670  0.195  0.135 -0.039 -0.015 -0.023 0.143 0.100 0.179 31.229
  222   4619.288    26.0 3.600  -1.06  5.606  0.042    52.469     2.648  0.166  0.102 -0.020 -0.017 -0.016 0.107 0.100 0.152 43.264
  223   4620.513    26.1 2.828  -3.21  5.695  0.062    49.532     3.747  0.235 -0.026  0.204 -0.018  0.065 0.216 0.100 0.246 16.478
  224   4623.097    22.0 1.738   0.16  3.304  0.054    40.504     3.359  0.177  0.135 -0.036 -0.009 -0.020 0.141 0.100 0.181 30.378
  225   4625.045    26.0 3.239  -1.27  5.845  0.065    81.175     3.637  0.203  0.121 -0.039 -0.043 -0.025 0.137 0.100 0.181 30.430
  226   4626.173    24.0 0.968  -1.33  3.698  0.050    81.712     2.805  0.173  0.163 -0.048 -0.043 -0.036 0.179 0.100 0.211 22.462
  227   4629.332    26.1 2.807  -2.26  5.498  0.056    93.627     2.804  0.202 -0.030  0.195 -0.056  0.063 0.215 0.100 0.243 16.901
  228    4630.12    26.0 2.277  -2.58  5.918  0.055    78.708     3.225  0.181  0.148 -0.029 -0.035 -0.024 0.157 0.100 0.194 26.616
  230   4634.073    24.1 4.069  -1.05  4.045  0.046    42.185     2.625  0.185 -0.039  0.189 -0.013  0.049 0.200 0.100 0.228 19.257
  231   4637.503    26.0 3.281  -1.29  5.520  0.034    57.107     2.142  0.144  0.115 -0.025 -0.019 -0.018 0.121 0.100 0.160 38.923
  232   4645.188    22.0 1.732  -0.51  3.445  0.069    16.169     2.358  0.137  0.134 -0.033 -0.004 -0.017 0.139 0.100 0.185 29.315
  233   4646.162    24.0 1.029  -0.74  3.775  0.074   112.239     3.582  0.193  0.169 -0.058 -0.079 -0.047 0.201 0.100 0.236 17.904
  234   4648.652    28.0 3.417  -0.09  4.174  0.050    54.459     3.144  0.181  0.097 -0.002 -0.021 -0.005 0.099 0.100 0.150 44.683
  235    4650.01    22.0 1.738  -0.64  3.397  0.080    11.083     2.003  0.091  0.133 -0.034 -0.003 -0.016 0.138 0.100 0.188 28.160
  236   4651.291    24.0 0.982  -1.46  3.767  0.040    77.460     2.419  0.164  0.162 -0.046 -0.036 -0.034 0.176 0.100 0.206 23.578
  237   4652.157    24.0 1.003  -1.04  3.618  0.068    91.200     3.623  0.172  0.164 -0.051 -0.053 -0.039 0.184 0.100 0.220 20.639
  238   4657.201    22.1 1.242  -2.29  3.708  0.077    95.901     4.049  0.210  0.011  0.181 -0.055  0.063 0.200 0.100 0.236 17.919
  239   4675.117    22.0 1.066  -1.29  3.457  0.063    17.849     2.344  0.137  0.155 -0.036 -0.005 -0.020 0.160 0.100 0.199 25.179
  240   4678.846    26.0 3.600  -0.68  5.534  0.045    71.997     2.747  0.163  0.105 -0.030 -0.034 -0.022 0.116 0.100 0.160 39.076
  241   4686.213    28.0 3.594  -0.59  4.010  0.072    12.781     1.994  0.099  0.089  0.006 -0.002  0.001 0.089 0.100 0.152 43.202
  242   4702.991    12.0 4.346  -0.44  6.002  0.042   139.037     3.389  0.207  0.090 -0.143 -0.039 -0.003 0.173 0.100 0.205 23.898
  244   4708.663    22.1 1.236  -2.35  3.651  0.059    90.488     3.259  0.196  0.011  0.185 -0.047  0.065 0.202 0.100 0.233 18.429
  245   4714.417    28.0 3.377   0.25  4.238  0.055    82.182     3.014  0.188  0.100 -0.016 -0.046 -0.016 0.112 0.100 0.160 38.980
  246    4722.15    30.0 4.030  -0.37  2.824  0.052    47.981     3.048  0.213  0.006  0.131 -0.015  0.048 0.140 0.100 0.180 30.835
  247   4727.395    26.0 3.684  -1.06  5.675  0.048    50.827     3.152  0.192  0.101 -0.019 -0.019 -0.013 0.105 0.100 0.153 42.741
  248   4733.591    26.0 1.484  -2.99  6.000  0.076   113.819     3.723  0.180  0.184 -0.035 -0.080 -0.040 0.208 0.100 0.243 16.990
