index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight                                              star
  163   4457.427    22.0 1.459   0.26  3.317  0.048    47.767     2.486  0.168  0.125 -0.031 -0.022 -0.018 0.132 0.100 0.172 33.671 wukong10_163246133_lesspayne_norm_EQW_params_synt
  165   4461.653    26.0 0.087  -3.19  5.800  0.087   128.934     3.881  0.181  0.229 -0.135 -0.110 -0.038 0.290 0.100 0.319  9.825 wukong10_163246133_lesspayne_norm_EQW_params_synt
  166   4465.805    22.0 1.738  -0.13  3.062  0.084     9.568     1.786  0.096  0.112 -0.023 -0.001 -0.011 0.115 0.100 0.174 33.056 wukong10_163246133_lesspayne_norm_EQW_params_synt
  167   4468.493    22.1 1.130  -0.63  3.735  0.067   144.704     3.545  0.192  0.060  0.026 -0.095  0.054 0.127 0.100 0.175 32.566 wukong10_163246133_lesspayne_norm_EQW_params_synt
  168   4469.151    22.1 1.083  -2.55  3.568  0.064    62.945     2.951  0.166  0.031  0.184 -0.036  0.041 0.194 0.100 0.228 19.271 wukong10_163246133_lesspayne_norm_EQW_params_synt
  169   4470.477    28.0 3.396   -0.3  3.988  0.055    22.475     2.200  0.131  0.085  0.003 -0.006 -0.005 0.085 0.100 0.143 49.210 wukong10_163246133_lesspayne_norm_EQW_params_synt
  170   4471.237    22.0 1.732  -0.15  3.361  0.068    16.867     2.292  0.143  0.113 -0.023 -0.002 -0.013 0.116 0.100 0.168 35.592 wukong10_163246133_lesspayne_norm_EQW_params_synt
  173    4484.22    26.0 3.600  -0.64  5.547  0.053    55.442     2.459  0.159  0.097 -0.029 -0.029 -0.013 0.106 0.100 0.155 41.545 wukong10_163246133_lesspayne_norm_EQW_params_synt
  174   4488.324    22.1 3.121   -0.5  3.215  0.059    30.108     2.682  0.165 -0.008  0.187 -0.009  0.031 0.190 0.100 0.223 20.179 wukong10_163246133_lesspayne_norm_EQW_params_synt
  175   4489.739    26.0 0.121   -3.9  5.743  0.079    98.348     2.768  0.160  0.218 -0.051 -0.099 -0.051 0.250 0.100 0.281 12.695 wukong10_163246133_lesspayne_norm_EQW_params_synt
  176     4491.4    26.1 2.856  -2.71  5.547  0.051    53.925     2.317  0.163 -0.010  0.197 -0.029  0.037 0.203 0.100 0.232 18.615 wukong10_163246133_lesspayne_norm_EQW_params_synt
  177   4493.522    22.1 1.079  -2.78  3.332  0.052    39.627     2.751  0.157  0.029  0.188 -0.014  0.044 0.196 0.100 0.226 19.599 wukong10_163246133_lesspayne_norm_EQW_params_synt
  178   4494.563    26.0 2.196  -1.14  5.654  0.057   112.829     3.142  0.185  0.150 -0.092 -0.067 -0.022 0.190 0.100 0.222 20.331 wukong10_163246133_lesspayne_norm_EQW_params_synt
  179   4496.145    22.0 1.748  -0.14  3.444  0.064    19.462     2.361  0.179  0.114 -0.024 -0.005 -0.013 0.117 0.100 0.167 35.890 wukong10_163246133_lesspayne_norm_EQW_params_synt
  180    4501.27    22.1 1.115  -0.77  3.560  0.065   131.463     2.830  0.185  0.052  0.074 -0.108  0.043 0.147 0.100 0.190 27.840 wukong10_163246133_lesspayne_norm_EQW_params_synt
  181   4508.281    26.1 2.856  -2.42  5.510  0.044    65.634     1.918  0.144 -0.009  0.191 -0.044  0.037 0.200 0.100 0.228 19.304 wukong10_163246133_lesspayne_norm_EQW_params_synt
  182   4512.734    22.0 0.835   -0.4  3.096  0.047    40.415     2.525  0.141  0.140 -0.032 -0.014 -0.019 0.146 0.100 0.183 29.948 wukong10_163246133_lesspayne_norm_EQW_params_synt
  183   4515.334    26.1 2.844   -2.6  5.594  0.053    61.838     2.384  0.156 -0.009  0.193 -0.039  0.037 0.201 0.100 0.230 18.857 wukong10_163246133_lesspayne_norm_EQW_params_synt
  184   4518.022    22.0 0.825  -0.25  3.181  0.043    53.271     2.197  0.154  0.143 -0.036 -0.028 -0.027 0.153 0.100 0.187 28.484 wukong10_163246133_lesspayne_norm_EQW_params_synt
  185   4518.332    22.1 1.079  -2.56  3.584  0.044    63.796     2.293  0.158  0.030  0.184 -0.036  0.041 0.194 0.100 0.223 20.133 wukong10_163246133_lesspayne_norm_EQW_params_synt
  186   4520.221    26.1 2.807  -2.65  5.588  0.049    61.266     2.198  0.152 -0.008  0.194 -0.039  0.037 0.201 0.100 0.230 18.871 wukong10_163246133_lesspayne_norm_EQW_params_synt
  188   4527.304    22.0 0.812  -0.45  3.313  0.046    50.762     2.420  0.154  0.143 -0.035 -0.024 -0.021 0.151 0.100 0.187 28.729 wukong10_163246133_lesspayne_norm_EQW_params_synt
  190    4529.48    22.1 1.571  -1.75  3.682  0.057    78.054     2.393  0.177  0.024  0.182 -0.058  0.037 0.196 0.100 0.227 19.349 wukong10_163246133_lesspayne_norm_EQW_params_synt
  191   4531.148    26.0 1.484   -2.1  5.618  0.069   101.352     2.821  0.174  0.173 -0.070 -0.088 -0.036 0.209 0.100 0.242 17.056 wukong10_163246133_lesspayne_norm_EQW_params_synt
  192   4533.239    22.0 0.848   0.54  2.961  0.059    78.603     2.429  0.146  0.152 -0.053 -0.059 -0.033 0.175 0.100 0.210 22.745 wukong10_163246133_lesspayne_norm_EQW_params_synt
  193   4534.776    22.0 0.835   0.35  3.152  0.059    78.800     2.419  0.153  0.149 -0.054 -0.065 -0.039 0.176 0.100 0.211 22.550 wukong10_163246133_lesspayne_norm_EQW_params_synt
  194   4535.569    22.0 0.825   0.14  3.198  0.072    72.428     3.056  0.167  0.153 -0.041 -0.050 -0.031 0.169 0.100 0.209 22.864 wukong10_163246133_lesspayne_norm_EQW_params_synt
  195   4544.687    22.0 0.818  -0.45  3.265  0.049    47.936     2.614  0.186  0.139 -0.034 -0.022 -0.024 0.147 0.100 0.184 29.465 wukong10_163246133_lesspayne_norm_EQW_params_synt
  196   4545.133    22.1 1.130  -2.45  3.391  0.054    56.967     2.705  0.168  0.025  0.186 -0.032  0.039 0.194 0.100 0.225 19.730 wukong10_163246133_lesspayne_norm_EQW_params_synt
  197   4547.847    26.0 3.544  -0.82  5.509  0.065    47.803     3.173  0.190  0.096 -0.017 -0.022 -0.017 0.101 0.100 0.157 40.810 wukong10_163246133_lesspayne_norm_EQW_params_synt
  198   4548.764    22.0 0.825  -0.28  3.069  0.038    46.105     2.070  0.147  0.141 -0.030 -0.018 -0.020 0.147 0.100 0.182 30.349 wukong10_163246133_lesspayne_norm_EQW_params_synt
  199   4555.483    22.0 0.848   -0.4  3.127  0.041    41.433     2.201  0.145  0.140 -0.029 -0.012 -0.019 0.145 0.100 0.181 30.649 wukong10_163246133_lesspayne_norm_EQW_params_synt
  200   4555.888    26.1 2.828   -2.4  5.560  0.060    70.161     2.536  0.160 -0.009  0.189 -0.050  0.036 0.199 0.100 0.231 18.797 wukong10_163246133_lesspayne_norm_EQW_params_synt
  201   4558.644    24.1 4.070  -0.43  3.660  0.047    45.474     2.259  0.146 -0.027  0.187 -0.022  0.028 0.192 0.100 0.222 20.335 wukong10_163246133_lesspayne_norm_EQW_params_synt
